Trip 0:
  Lon: -80.115090, Lat: 26.787754
  Lon: -80.115124, Lat: 26.787405
  Lon: -80.115125, Lat: 26.787323
  Lon: -80.115158, Lat: 26.787287
  Lon: -80.115163, Lat: 26.787094
  Lon: -80.115270, Lat: 26.786898
  Lon: -80.115377, Lat: 26.786459
  Lon: -80.115505, Lat: 26.785582
  Lon: -80.115655, Lat: 26.785595
  Lon: -80.122677, Lat: 26.790313
  Lon: -80.131258, Lat: 26.795961
  Lon: -80.132184, Lat: 26.796484
  Lon: -80.132859, Lat: 26.797154
  Lon: -80.133020, Lat: 26.797260
  Lon: -80.133479, Lat: 26.797565
  Lon: -80.134003, Lat: 26.797979
  Lon: -80.134095, Lat: 26.798062
  Lon: -80.134507, Lat: 26.798341
  Lon: -80.134834, Lat: 26.798534
  Lon: -80.134926, Lat: 26.798617
  Lon: -80.135335, Lat: 26.798893
  Lon: -80.135866, Lat: 26.799228
  Lon: -80.136590, Lat: 26.799646
  Lon: -80.136811, Lat: 26.799789
  Lon: -80.136874, Lat: 26.799919
  Lon: -80.137169, Lat: 26.800097
  Lon: -80.137230, Lat: 26.800026
  Lon: -80.137310, Lat: 26.800020
  Lon: -80.137392, Lat: 26.799689
  Lon: -80.137470, Lat: 26.799638
  Lon: -80.137664, Lat: 26.799073
  Lon: -80.137665, Lat: 26.798990
  Lon: -80.137774, Lat: 26.798464
  Lon: -80.137866, Lat: 26.798464
  Lon: -80.137867, Lat: 26.798382
  Lon: -80.138000, Lat: 26.797981
  Lon: -80.137980, Lat: 26.797771
  Lon: -80.138209, Lat: 26.797245
  Lon: -80.138210, Lat: 26.797163
  Lon: -80.138250, Lat: 26.795660
  Lon: -80.138491, Lat: 26.789576
  Lon: -80.138514, Lat: 26.788893
  Lon: -80.138514, Lat: 26.788811
  Lon: -80.138635, Lat: 26.788408
  Lon: -80.138636, Lat: 26.788325
  Lon: -80.138646, Lat: 26.788221
  Lon: -80.138647, Lat: 26.788139
  Lon: -80.138606, Lat: 26.788078
  Lon: -80.138606, Lat: 26.787996
  Lon: -80.138696, Lat: 26.787442
  Lon: -80.138697, Lat: 26.787360
  Lon: -80.138833, Lat: 26.786636
  Lon: -80.138834, Lat: 26.786554
  Lon: -80.139076, Lat: 26.786216
  Lon: -80.139076, Lat: 26.786134
  Lon: -80.139196, Lat: 26.785647
  Lon: -80.139197, Lat: 26.785564
  Lon: -80.139457, Lat: 26.785085
  Lon: -80.139458, Lat: 26.785002
  Lon: -80.139539, Lat: 26.784507
  Lon: -80.139540, Lat: 26.784425
  Lon: -80.139665, Lat: 26.783830
  Lon: -80.139794, Lat: 26.783282
  Lon: -80.139703, Lat: 26.783199
  Lon: -80.139811, Lat: 26.782749
  Lon: -80.139719, Lat: 26.782666
  Lon: -80.139826, Lat: 26.782150
  Lon: -80.139734, Lat: 26.782067
  Lon: -80.139844, Lat: 26.781570
  Lon: -80.139753, Lat: 26.781487
  Lon: -80.139869, Lat: 26.780995
  Lon: -80.139777, Lat: 26.780912
  Lon: -80.139876, Lat: 26.780295
  Lon: -80.139785, Lat: 26.780212
  Lon: -80.139892, Lat: 26.779632
  Lon: -80.139801, Lat: 26.779549
  Lon: -80.139910, Lat: 26.778988
  Lon: -80.139911, Lat: 26.778906
  Lon: -80.139819, Lat: 26.778905
  Lon: -80.139818, Lat: 26.778988
  Lon: -80.139893, Lat: 26.779549
  Lon: -80.139801, Lat: 26.779631
  Lon: -80.139877, Lat: 26.780212
  Lon: -80.139784, Lat: 26.780294
  Lon: -80.139869, Lat: 26.780913
  Lon: -80.139777, Lat: 26.780995
  Lon: -80.139845, Lat: 26.781487
  Lon: -80.139752, Lat: 26.781569
  Lon: -80.139826, Lat: 26.782067
  Lon: -80.139734, Lat: 26.782149
